county,week,flood_type,detected_pixel_days,mean_cloud_fraction,unique_grid_cells,detected_area_km2,year,month
Aweil Centre,2006-11-06,unusual,33,0.0,31,1.6446273089766827,2006,11
Aweil Centre,2006-11-13,recurring,47,0.0,28,1.4850002261162585,2006,11
Aweil Centre,2006-11-13,unusual,46,0.0,38,2.01566611512888,2006,11
Aweil Centre,2006-11-20,recurring,35,0.0,24,1.2727878176854768,2006,11
Aweil Centre,2006-11-20,unusual,213,0.0,198,10.509681904520642,2006,11
Aweil Centre,2006-11-27,unusual,40,0.0,40,2.1234351474177426,2006,11
Aweil Centre,2006-12-04,unusual,13,0.0,13,0.6900338796777045,2006,12
Aweil Centre,2007-04-09,unusual,4,0.0,4,0.21244648406080843,2007,4
Aweil Centre,2007-08-20,recurring,8,0.0,5,0.2653144349685646,2007,8
Aweil Centre,2007-08-20,unusual,162,0.0,112,5.943768722199196,2007,8
Aweil Centre,2007-08-27,unusual,6,0.0,6,0.3183892580685269,2007,8
Aweil Centre,2007-09-03,recurring,9,0.0,7,0.3713214833379187,2007,9
Aweil Centre,2007-09-03,unusual,74,0.0,63,3.3433384954581173,2007,9
Aweil Centre,2007-09-10,unusual,2,0.0,2,0.10615243468410362,2007,9
Aweil Centre,2007-09-17,recurring,113,0.0,105,5.569719730738286,2007,9
Aweil Centre,2007-09-17,unusual,353,0.0,338,17.933915207451015,2007,9
Aweil Centre,2007-09-24,recurring,232,0.0,94,4.985948432342619,2007,9
Aweil Centre,2007-09-24,unusual,357,0.0,284,15.065349001068583,2007,9
Aweil Centre,2007-10-01,recurring,82,0.0,31,1.6442151217689913,2007,10
Aweil Centre,2007-10-01,unusual,186,0.0,127,6.73841042529207,2007,10
Aweil Centre,2007-10-08,recurring,165,0.0,47,2.4928723068167877,2007,10
Aweil Centre,2007-10-08,unusual,191,0.0,120,6.367105992896318,2007,10
Aweil Centre,2007-10-15,recurring,75,0.0,28,1.4849438737732121,2007,10
Aweil Centre,2007-10-15,unusual,57,0.0,36,1.9100050440150935,2007,10
Aweil Centre,2007-10-22,recurring,22,0.0,22,1.1667712648124229,2007,10
