county,run_id,start_week,end_week,county_detected_weeks,peak_weekly_union_area_km2,cumulative_detected_area_km2_weeks
Aweil Centre,1,2000-10-16,2000-10-30,3,4.402623148984815,7.851045244563269
Aweil Centre,2,2001-10-15,2001-10-15,1,0.583370340149964,0.583370340149964
Aweil Centre,3,2001-10-29,2001-10-29,1,1.00762204045512,1.00762204045512
Aweil Centre,4,2002-09-02,2002-09-02,1,0.15922079062653108,0.15922079062653108
Aweil Centre,5,2002-09-16,2002-09-30,3,0.2651375960544848,0.5303057697731816
Aweil Centre,6,2002-10-28,2002-10-28,1,0.053087688165767664,0.053087688165767664
Aweil Centre,7,2002-11-25,2002-12-02,2,0.3184662306511984,0.5307831837394398
Aweil Centre,8,2002-12-23,2002-12-23,1,0.10618363729858324,0.10618363729858324
Aweil Centre,9,2003-01-27,2003-01-27,1,0.1590983969880506,0.1590983969880506
Aweil Centre,10,2003-03-31,2003-03-31,1,0.10606888013314034,0.10606888013314034
Aweil Centre,11,2003-06-09,2003-06-09,1,0.053058508046205335,0.053058508046205335
Aweil Centre,12,2003-09-22,2003-09-29,2,1.3788795537721477,1.6972530853294303
Aweil Centre,13,2003-10-13,2003-11-03,4,4.5622869734344,6.312643655945214
Aweil Centre,14,2003-11-24,2003-12-01,2,0.15939981141911128,0.26547554019401254
Aweil Centre,15,2003-12-15,2003-12-15,1,3.2914633307644774,3.2914633307644774
Aweil Centre,16,2004-10-18,2004-10-18,1,0.21223361401719348,0.21223361401719348
Aweil Centre,17,2004-11-15,2004-11-15,1,0.21221483011068246,0.21221483011068246
Aweil Centre,18,2004-12-20,2004-12-20,1,0.05309053842340049,0.05309053842340049
Aweil Centre,19,2005-01-24,2005-01-24,1,0.10620204584912639,0.10620204584912639
Aweil Centre,20,2005-08-29,2005-09-05,2,2.65350056886083,3.555764196689259
Aweil Centre,21,2005-09-19,2005-10-10,4,6.842293767748819,8.274836261861479
Aweil Centre,22,2005-10-31,2005-11-28,5,0.4779106056748943,1.0089079416045406
Aweil Centre,23,2006-08-14,2006-12-04,17,18.619415904571326,54.859501945859506
Aweil Centre,24,2007-04-09,2007-04-09,1,0.21244648406080843,0.21244648406080843
Aweil Centre,25,2007-08-20,2007-11-12,13,23.5036349381893,91.78679274480486
Aweil Centre,26,2007-11-26,2007-12-24,5,1.3802018250895194,3.132014686639462
Aweil Centre,27,2008-04-14,2008-04-14,1,0.10612139908939178,0.10612139908939178
Aweil Centre,28,2008-06-23,2008-06-23,1,0.10616937587354494,0.10616937587354494
Aweil Centre,29,2008-08-04,2008-12-15,20,50.19893429579248,251.05175016718735
Aweil Centre,30,2009-08-17,2009-09-28,7,4.191850167434439,13.634776602322937
Aweil Centre,31,2009-10-12,2009-10-26,3,0.8487578049668966,0.9549230733171887
Aweil Centre,32,2010-01-25,2010-01-25,1,0.10619724559903912,0.10619724559903912
Aweil Centre,33,2010-08-16,2010-11-15,14,93.65147934660487,204.95099624650157
Aweil Centre,34,2010-11-29,2010-11-29,1,0.0530825402499146,0.0530825402499146
