period,precipitation_mm,runoff_mm,et_mm,et_days,net_water_balance_mm,runoff_coefficient,water_balance_class,month_name
2024-01-01,37.89415095313037,5.962938675561897,168.74635977849132,31,-130.85220882536095,0.15735775906253177,deficit,Jan
2024-02-01,27.9356531391351,6.625017397611065,160.6365536326666,29,-132.7009004935315,0.23715276548626915,deficit,Feb
2024-03-01,38.80293113290268,9.112646527917082,172.32156656013657,31,-133.5186354272339,0.2348442826833274,deficit,Mar
2024-04-01,44.58936219581934,8.58936191048284,164.40386778398363,30,-119.81450558816428,0.1926325358223709,deficit,Apr
2024-05-01,90.24254348526722,18.727288191787057,154.81052477576063,31,-64.5679812904934,0.20752172388452714,deficit,May
2024-06-01,184.02354358509714,46.17040381043451,122.92646541163279,30,61.097078173464354,0.25089400470698003,surplus,Jun
2024-07-01,363.8085907639178,106.59317360804222,112.91819739651476,31,250.89039336740302,0.29299245898569926,surplus,Jul
2024-08-01,385.7639931934117,117.05683198802045,110.99028928266854,31,274.77370391074317,0.3034415706323615,surplus,Aug
2024-09-01,192.66747906791045,50.163903797268105,125.73201787105879,30,66.93546119685166,0.260365184824921,surplus,Sep
2024-10-01,81.32094477699535,14.0137014657526,158.44567676175416,31,-77.12473198475881,0.17232585656969515,deficit,Oct
2024-11-01,27.96687343136797,6.31349508027523,166.8346750835578,30,-138.86780165218985,0.22574904898714707,deficit,Nov
2024-12-01,32.72888378816559,9.167727766015808,169.7682854978991,31,-137.0394017097335,0.2801112260764224,deficit,Dec
