level,rows,unique_pixels,unique_dates,first_date,last_date,files
Country (South Sudan),95255114,4800,9242,2000-02-28,2025-12-31,104
Northern Bahr el Ghazal state,972588,28925,2232,2000-10-21,2025-12-21,104
