state,county,county_code,week,flood_type,detected_pixel_days,unique_grid_cells,detected_area_km2
Jonglei,Ayod,SS0302,2000-12-18,unusual,18,12,0.6379521475750551
Jonglei,Ayod,SS0302,2000-12-25,recurring,50,30,1.5944361154082582
Jonglei,Ayod,SS0302,2000-12-25,unusual,28,16,0.8505596195856266
Jonglei,Bor South,SS0303,2000-02-28,recurring,2,2,0.10662494078116072
Jonglei,Bor South,SS0303,2000-02-28,unusual,6,4,0.21333712550159895
Jonglei,Bor South,SS0303,2000-03-06,recurring,2,1,0.05333315575359428
Jonglei,Bor South,SS0303,2000-03-06,unusual,6,4,0.21328504151606772
Jonglei,Bor South,SS0303,2000-03-27,recurring,4,3,0.15993274339980298
Jonglei,Bor South,SS0303,2000-03-27,unusual,13,11,0.5864825942677935
Jonglei,Bor South,SS0303,2000-04-17,unusual,5,5,0.26663613213002796
Jonglei,Bor South,SS0303,2000-05-08,unusual,1,1,0.05333466990676838
Jonglei,Bor South,SS0303,2000-05-15,unusual,3,3,0.15999488359473463
Jonglei,Bor South,SS0303,2000-05-29,unusual,1,1,0.05333488593228352
Jonglei,Bor South,SS0303,2000-06-19,unusual,2,2,0.10666847500623965
Jonglei,Bor South,SS0303,2000-09-11,recurring,1,1,0.05332597091718081
Jonglei,Bor South,SS0303,2000-10-23,unusual,2,2,0.10666217131457764
Jonglei,Bor South,SS0303,2000-10-30,recurring,2,1,0.05331582764656184
Jonglei,Bor South,SS0303,2000-11-27,recurring,1,1,0.05332597091718081
Jonglei,Bor South,SS0303,2000-11-27,unusual,20,20,1.0654790723673957
Jonglei,Bor South,SS0303,2000-12-04,recurring,4,3,0.15996048408949787
Jonglei,Bor South,SS0303,2000-12-04,unusual,24,23,1.2260617729397798
Jonglei,Bor South,SS0303,2000-12-11,unusual,3,3,0.1599864250267222
Jonglei,Bor South,SS0303,2000-12-18,unusual,34,32,1.7052428751087039
Jonglei,Bor South,SS0303,2000-12-25,unusual,5,5,0.26638319371661645
Jonglei,Canal/Pigi,SS0304,2000-12-11,unusual,1,1,0.052957549255208174
Jonglei,Canal/Pigi,SS0304,2000-12-25,unusual,14,13,0.6893109737187524
Jonglei,Duk,SS0305,2000-02-28,unusual,173,104,5.530839288427247
Jonglei,Duk,SS0305,2000-03-13,unusual,2,2,0.10640882559529122
