county_code,run_id,start_week,end_week,county_detected_weeks,peak_weekly_union_area_km2,cumulative_detected_area_km2_weeks,potential_cattle_exposure_weeks,flooded_rangeland_km2_weeks,state,county
SS0001,1,2003-04-21,2003-04-21,1,0.31750585602445436,0.31750585602445436,3.6633262041608763,0.13176313978503917,Abyei Region,Abyei Region
SS0001,2,2003-05-05,2003-05-19,3,0.31715271232445763,0.6876361915828592,10.048473782853844,0.5506437827915189,Abyei Region,Abyei Region
SS0001,3,2003-11-03,2003-11-03,1,4.0240389904284015,4.0240389904284015,89.20106431819572,3.4188438259968605,Abyei Region,Abyei Region
SS0001,4,2004-05-03,2004-05-03,1,0.3173800853701786,0.3173800853701786,4.326357366247155,0.21052737203455843,Abyei Region,Abyei Region
SS0001,5,2004-10-18,2004-10-18,1,0.05293815997865712,0.05293815997865712,0.6026361490949194,0.02170464559124942,Abyei Region,Abyei Region
SS0001,6,2004-11-01,2004-11-01,1,0.15876848233207827,0.15876848233207827,1.8293526885810465,0.09208546754165402,Abyei Region,Abyei Region
SS0001,7,2005-04-25,2005-04-25,1,0.052948999271891166,0.052948999271891166,1.1113209695814483,0.011119289847097145,Abyei Region,Abyei Region
SS0001,8,2005-05-09,2005-05-09,1,0.10586593271894693,0.10586593271894693,1.2861033370427872,0.06351596958638031,Abyei Region,Abyei Region
SS0001,9,2005-11-21,2005-12-05,3,0.05294358973994583,0.15878320291645504,1.9410193834147766,0.10161934721439592,Abyei Region,Abyei Region
SS0001,10,2006-05-22,2006-05-22,1,0.05288606536851363,0.05288606536851363,0.603746829849118,0.023798729415831135,Abyei Region,Abyei Region
SS0001,11,2006-12-25,2006-12-25,1,0.15866150591371858,0.15866150591371858,1.7694931744775682,0.11159258978664316,Abyei Region,Abyei Region
SS0001,12,2007-10-22,2007-10-29,2,4.549190645627542,8.199102501991828,93.74891682041834,5.671128423108286,Abyei Region,Abyei Region
SS0001,13,2007-12-24,2008-01-14,4,0.21141850017112696,0.5285476014776093,5.696220443745433,0.1585641858761509,Abyei Region,Abyei Region
SS0001,14,2008-04-14,2008-04-14,1,0.9000333709565644,0.9000333709565644,17.471602893768267,0.8815031464847719,Abyei Region,Abyei Region
SS0001,15,2008-05-12,2008-05-12,1,0.2117718077961827,0.2117718077961827,4.7176509229486765,0.2117718077961827,Abyei Region,Abyei Region
SS0001,16,2008-12-08,2009-01-05,5,0.7942356229491647,2.170915315683106,36.24548917572711,0.636449249678296,Abyei Region,Abyei Region
SS0001,17,2009-04-06,2009-04-06,1,0.6346281473486818,0.6346281473486818,7.244909021401721,0.3527473002285521,Abyei Region,Abyei Region
SS0001,18,2009-10-26,2009-11-02,2,1.1640186239666672,1.7992332892002887,20.724888126930257,1.237768846491959,Abyei Region,Abyei Region
SS0001,19,2010-05-03,2010-05-03,1,0.05289629861485916,0.05289629861485916,0.6208727300923823,0.01639785257060634,Abyei Region,Abyei Region
SS0001,20,2010-12-27,2011-01-10,3,1.7471232331839954,3.176628182981025,66.19023075893267,1.712798654643771,Abyei Region,Abyei Region
SS0001,21,2011-06-06,2011-06-06,1,0.05287942776002384,0.05287942776002384,0.589744727007229,0.04336113076321955,Abyei Region,Abyei Region
SS0001,22,2012-10-29,2012-11-12,3,0.8985076509755822,1.2685725796402028,13.552215259528767,0.9297552524117415,Abyei Region,Abyei Region
SS0001,23,2013-10-28,2013-10-28,1,0.10590053829140729,0.10590053829140729,2.4383169430073157,0.09531048446226656,Abyei Region,Abyei Region
SS0001,24,2013-11-11,2013-11-25,3,2.6455463638220613,2.9101387467133755,34.79572953929433,1.727552359321622,Abyei Region,Abyei Region
SS0001,25,2013-12-16,2013-12-16,1,0.21178676252237102,0.21178676252237102,4.660711110481485,0.15778284797771178,Abyei Region,Abyei Region
SS0001,26,2014-04-21,2014-04-21,1,0.10583799151123977,0.10583799151123977,1.1106958236841664,0.064560853919541,Abyei Region,Abyei Region
SS0001,27,2014-10-20,2014-10-20,1,0.26437794816542837,0.26437794816542837,3.021511779879032,0.14855722710253044,Abyei Region,Abyei Region
SS0001,28,2014-11-24,2015-01-12,8,0.634411309070088,1.9569551677432846,24.50801974644037,1.3177432223562606,Abyei Region,Abyei Region
SS0001,29,2015-05-04,2015-05-25,4,1.3744775102742453,3.383335092482368,45.22299667564207,0.778162223147975,Abyei Region,Abyei Region
SS0001,30,2015-11-09,2015-11-09,1,0.052927884371993146,0.052927884371993146,0.44816652676253177,0.019583317217637463,Abyei Region,Abyei Region
SS0001,31,2016-05-30,2016-05-30,1,0.05288904324373046,0.05288904324373046,0.7152241934108674,0.01586671297311914,Abyei Region,Abyei Region
SS0001,32,2016-11-07,2016-11-14,2,0.42302626854580005,0.4759736788275763,6.38836111525651,0.4331320841076639,Abyei Region,Abyei Region
SS0001,33,2017-05-01,2017-05-01,1,0.15870138165263314,0.15870138165263314,1.5985039679168136,0.11743902242294854,Abyei Region,Abyei Region
SS0001,34,2017-10-23,2017-10-23,1,0.10580281110446604,0.10580281110446604,1.1147065470571356,0.07353326354911696,Abyei Region,Abyei Region
SS0001,35,2017-11-06,2017-11-13,2,0.2115930857475562,0.3173711722350171,3.5796630032832613,0.27558264518305375,Abyei Region,Abyei Region
SS0001,36,2017-12-04,2017-12-04,1,0.05290646450255273,0.05290646450255273,0.6088806616644168,0.03227294334655716,Abyei Region,Abyei Region
SS0001,37,2018-01-15,2018-01-15,1,0.21179186652975246,0.21179186652975246,3.352118277316663,0.21020342196942865,Abyei Region,Abyei Region
SS0001,38,2018-04-02,2018-04-02,1,0.05293527717564381,0.05293527717564381,0.518096474139294,0.028055696903091218,Abyei Region,Abyei Region
SS0001,39,2018-04-30,2018-04-30,1,0.10582355770031109,0.10582355770031109,1.116093727171668,0.057671085194155675,Abyei Region,Abyei Region
SS0001,40,2018-05-21,2018-05-28,2,0.2645047681049375,0.423246438449967,4.675077148483994,0.2655648706012044,Abyei Region,Abyei Region
SS0001,41,2018-09-24,2018-09-24,1,0.10573515387098292,0.10573515387098292,1.325635616076874,0.04599476011035458,Abyei Region,Abyei Region
SS0001,42,2018-10-08,2018-12-17,11,0.634618572135801,2.6442938351754517,31.993913641289087,1.9848715828400756,Abyei Region,Abyei Region
SS0001,43,2019-09-23,2020-02-03,20,6.7764539381647335,47.117706772133864,803.85178862089,40.14970320514037,Abyei Region,Abyei Region
SS0001,44,2020-04-27,2020-05-11,3,0.47631406831605577,0.7938873409816186,11.342218424364974,0.5551997263420121,Abyei Region,Abyei Region
SS0001,45,2020-10-26,2020-10-26,1,0.052851244009112584,0.052851244009112584,0.5325829515847275,0.04756611960820132,Abyei Region,Abyei Region
SS0001,46,2021-10-11,2022-01-17,15,0.5817898698156541,4.59950819154398,53.04895110775331,2.7615464042647484,Abyei Region,Abyei Region
