state,county,county_code,detected_weeks,largest_weekly_flood_area_km2,largest_weekly_flood_percent,flood_area_km2_weeks,flooded_rangeland_km2_weeks,potential_cattle_weeks,peak_potential_cattle_exposed,peak_flooded_rangeland_km2,mapped_cattle,mapped_rangeland_km2,mean_weekly_potential_cattle_exposed,mean_weekly_flooded_rangeland_km2,cattle_exposure_weeks_per_year,rangeland_exposure_weeks_per_year,cattle_absolute_rank,rangeland_absolute_rank
Abyei Region,Abyei Region,SS0001,167,156.23827653144352,1.4885718442044533,908.8293339181959,788.8501594000516,13708.781803734315,2284.527672077326,136.78266539732624,132982.49556891053,7262.681214412422,10.102271041808633,0.5813192036846364,0.003964889035579449,0.004177574348981044,50,41
Central Equatoria,Juba,SS0101,830,45.07826043475505,0.24543720312394995,1947.8851462472867,804.5709613249459,17986.339426475315,554.5567822906797,38.93290083908226,360601.76558356546,13752.716171981596,13.254487418183725,0.5929041719417435,0.0019184107002752683,0.002250103658583509,47,40
Central Equatoria,Kajo-keji,SS0102,165,2.4093706512689272,0.09575797059269729,34.31931467735564,11.28433784837615,745.604298006571,58.62385129371104,1.0091791925081954,91808.31860554423,1341.168080037051,0.5494504775287922,0.008315650588339094,0.0003123582788622852,0.00032360820439174444,71,76
Central Equatoria,Lainya,SS0103,121,4.33377883105736,0.12386060854022275,66.03575350355881,26.529928730764247,1154.6316681205894,68.86337472485057,2.3306647732847496,63668.74522324931,1449.1547296670449,0.8508707944882752,0.01955042647808714,0.000697499379901616,0.0007041221019197891,67,71
Central Equatoria,Morobo,SS0104,48,1.713416616002035,0.13090089056388782,11.994428759850132,4.6071145337811314,308.09863861468375,43.375769692109195,0.7753175130329487,69227.84161689546,502.4190296512404,0.22704394886859525,0.0033950733484017183,0.00017117314886983635,0.000352687104548446,74,77
Central Equatoria,Terekeka,SS0105,775,99.26689811443126,0.9301507611798325,2812.284144215571,1168.2860060768894,7797.015210672042,646.471280790554,98.43539664544257,237603.71073512879,7897.456263443376,5.745773920907916,0.8609329447876857,0.0012621233880676353,0.005689689902405575,52,35
Central Equatoria,Yei,SS0106,164,11.828258726055882,0.17600140175646928,129.34729560523664,50.56551432653763,2047.4497128175524,189.48600585654108,5.428164317061584,116147.5436669153,2279.787838906436,1.5088059784948802,0.037262722421914245,0.0006780002692388372,0.0008530738873624716,64,68
Eastern Equatoria,Budi,SS0201,378,14.339560731764175,0.2501086489693328,298.9513867471134,252.73785478108888,5823.249298726694,278.3742446209712,11.5493336214993,128606.94631944393,3542.5919590167828,4.291266985060202,0.1862474979963809,0.0017415165609934219,0.002743947605257781,56,52
Eastern Equatoria,Ikotos,SS0202,275,9.901894064443406,0.28201711075280506,192.8337974547719,172.1824024726637,3530.2421305834073,202.89763155157323,6.9078184656055,70411.28570542824,2007.6528776210603,2.6015048862073744,0.12688460020093126,0.0019283633599877525,0.0032985782397550564,59,59
Eastern Equatoria,Kapoeta East,SS0203,1133,254.28139374772368,0.860136519176102,15159.749399612696,6819.837645586614,192361.7527126001,3001.4484289008883,135.23311609375267,470100.2677425906,18772.177888044393,141.75516043669867,5.0256725464897665,0.015738193441182595,0.013972883139693224,23,11
Eastern Equatoria,Kapoeta North,SS0204,409,22.87289976003063,0.3989592874594012,507.83273263348127,416.42163639722094,7504.668090915753,430.49306224117134,18.548276731157618,82947.9607988072,4192.960151555584,5.530337576209103,0.30686929727134926,0.0034797851284125523,0.0038197875022891637,54,50
Eastern Equatoria,Kapoeta South,SS0205,85,1.7646739705679246,0.14703085417450001,19.148062633834925,11.41789165531328,517.0090728973523,62.17977455937375,0.9288608171841481,35373.24029103452,635.2038503264295,0.3809941583620872,0.008414069016443095,0.000562147097031588,0.000691352356924211,72,75
Eastern Equatoria,Lafon,SS0206,709,824.8915117670745,5.078701993705325,5394.1205634260405,5257.282112404257,18777.76064162485,1087.8531220970533,805.1639878361144,96294.67955112658,14823.17439795789,13.83770128343762,3.8741946296273078,0.0075001190772535035,0.01364101593497078,46,15
Eastern Equatoria,Magwi,SS0207,347,5.7811360824270235,0.11116152903644093,172.6175468967089,106.93507883368507,2063.3764900490546,63.88127868908705,4.69667283513479,63785.93063343339,3550.6756723558688,1.5205427340081463,0.07880256362099121,0.0012441714566920356,0.0011583394336663055,63,63
Eastern Equatoria,Torit,SS0208,304,9.7357228280722,0.16674840080135397,222.12746047999332,193.53237772979756,2810.920663997056,138.6852021571085,8.523101319743603,72462.91405590945,3236.387024260224,2.071422744286703,0.14261781704480292,0.0014919677829577887,0.0022999576174944814,61,57
Jonglei,Akobo,SS0301,644,341.8485680514543,3.7881871751978786,7133.302132406436,6467.549488468634,134399.97459098054,6364.721771094249,332.8059744856838,175699.1807199529,6532.316358693662,99.04198569711167,4.766064471973938,0.02942091005079887,0.03808019846919744,26,12
Jonglei,Ayod,SS0302,1272,1145.5193990218854,8.517413327485684,79429.15356837059,30792.1254612762,1123688.195564024,20317.885792414516,605.914378095021,201782.46042055037,5076.329319220078,828.0679407251466,22.691323110741486,0.21418500231579532,0.23330096281526289,5,3
Jonglei,Bor South,SS0303,1176,1087.9024246087197,7.791414681651827,20679.06344526072,7202.895583030401,251046.18147493413,19547.189039719782,1083.7759577990857,243308.03972200712,11769.8456823609,185.00087065212537,5.307955477546353,0.03968476494016649,0.02353764467076677,20,9
Jonglei,Canal/Pigi,SS0304,545,446.94303472334957,10.069183708437162,11474.418526318716,5161.919625066352,214583.4707536402,8427.73835730078,210.25080917554968,87516.07117804422,1980.7292549315976,158.1307816902286,3.803920136379036,0.0943050836549903,0.10023347193996784,22,17
Jonglei,Duk,SS0305,1208,464.04065303154704,6.739803480709372,38367.96500546643,806.3022621691533,526508.2407597073,7107.137537357121,47.69512791644973,99618.34379265053,1705.490979831709,387.9942820631594,0.5941800015984917,0.20327899643108127,0.018183400460496404,14,39
Jonglei,Fangak,SS0306,1136,827.6268671443593,10.810898385078561,48772.482643654745,11656.89397722977,736479.626484302,12098.155952816654,185.40304674569566,117493.90543608212,1995.0525243486366,542.7263275492277,8.59019453001457,0.24108603229275724,0.22472695358919323,11,7
